City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,kisangani,0.5167,25.2,20.36,97,93,0.41,CD,1699653731
280,sandnessjoen,66.0217,12.6316,2.06,51,0,5.14,NO,1699653732
281,codrington,-38.2667,141.9667,14.84,60,87,6.7,AU,1699653732
282,hastings,50.8552,0.5729,6.4,86,5,5.79,GB,1699653251
283,maxixe,-23.8597,35.3472,20.27,76,0,3.3,MZ,1699653733
284,guatire,10.4762,-66.5427,24.67,96,93,1.67,VE,1699653733
285,island harbour,50.724,-1.2758,7.22,87,2,1.34,GB,1699653117
286,belozersk,60.0326,37.7957,4.43,90,100,4.02,RU,1699653734
287,dunedin,-45.8742,170.5036,17.26,64,0,3.58,NZ,1699653692
288,zuenoula,7.4292,-6.0431,23.2,96,100,1.79,CI,1699653735
289,rongelap,11.1635,166.8941,27.94,80,100,9.28,MH,1699653182
290,priargunsk,50.3691,119.1012,-19.31,91,78,0.59,RU,1699653735
291,palikir - national government center,6.9248,158.1611,25.41,89,100,0.0,FM,1699653015
292,utrik,11.2278,169.8474,27.53,84,100,9.27,MH,1699653736
293,hermanus,-34.4187,19.2345,17.13,87,84,1.46,ZA,1699653736
294,semporna,4.4818,118.6112,25.8,90,79,2.26,MY,1699653737
295,berdigestyakh,62.0989,126.6992,-28.06,100,100,0.82,RU,1699653737
296,la sarre,48.8002,-79.1996,-3.22,92,100,3.56,CA,1699653052
297,aromashevo,56.8602,68.6375,0.4,97,100,2.24,RU,1699653738
298,kalmunai,7.4167,81.8167,25.44,87,17,1.35,LK,1699653248
299,kati,12.7441,-8.0726,23.67,24,100,1.75,ML,1699653738
300,kailua-kona,19.6406,-155.9956,30.15,67,40,5.66,US,1699653044
301,port saint john's,-31.6229,29.5448,20.48,92,27,5.39,ZA,1699653206
302,bhamo,24.2667,97.2333,17.78,73,1,0.76,MM,1699653739
303,acarau,-2.8856,-40.12,26.52,76,3,8.89,BR,1699653092
304,klaksvik,62.2266,-6.589,5.51,76,48,7.09,FO,1699653740
305,kastoria,40.5167,21.2667,8.92,96,91,0.98,GR,1699653740
306,peace river,56.2501,-117.286,8.17,53,20,6.17,CA,1699653678
307,grande prairie,55.1667,-118.8027,9.1,37,20,5.66,CA,1699653577
308,laguna,38.421,-121.4238,21.27,39,0,4.12,US,1699653254
309,butajira,8.1167,38.3667,14.65,59,16,3.85,ET,1699653741
310,puerto lempira,15.2667,-83.7667,28.51,80,72,3.37,HN,1699653203
311,dehui,44.5333,125.7,-15.32,94,9,2.87,CN,1699653742
312,khandyga,62.6667,135.6,-35.98,100,65,0.58,RU,1699653261
313,itaituba,-4.2761,-55.9836,35.09,46,20,2.06,BR,1699653743
314,tabou,4.423,-7.3528,24.96,90,70,3.27,CI,1699653743
315,walvis bay,-22.9575,14.5053,16.53,82,68,0.0,NA,1699653184
316,pala,9.3642,14.9046,25.97,62,55,2.44,TD,1699653744
317,shimoda,34.6667,138.95,15.06,74,78,6.3,JP,1699653744
318,port lincoln,-34.7333,135.8667,15.2,68,42,8.45,AU,1699653180
319,naze,28.3667,129.4833,20.51,71,99,5.23,JP,1699653745
320,sakaraha,-22.9,44.5333,18.98,68,1,4.11,MG,1699653745
321,ellsworth,44.5434,-68.4195,7.7,75,100,2.06,US,1699653745
322,glace bay,46.1969,-59.957,4.32,83,75,4.47,CA,1699653746
